,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,platforma,id_razlicice,id_modela
977,Toyota,Yaris,N/A,SPREMENLJIV,,BENCIN,3,,,64.0,1.3,https://www.bolha.com/avto-oglasi/toyota-yaris-letnik-2007-238000-km-1.3-63kw-bencin-deli-delih-oglas-1578931,"Toyota Yaris, letnik 2007, 238000 km, 1.3 63kw bencin deli po delih...",2007.0,238000.0,,bolha,,
978,FIAT,Bravo,Bravo,SPREMENLJIV,ROČNI,BENCIN,4,,,110.0,1.4,https://www.bolha.com/avto-oglasi/fiat-bravo-1.4-110kw-sport-letnik-2007-82000-km-bencin-oglas-1576584,"Fiat Bravo 1.4 110kw sport, letnik 2007, 82000 km, bencin",2007.0,82000.0,,bolha,8280.0,879.0
979,RENAULT,Grand Scenic,Grand Scenic,HATCHBACK,,DIEZEL,4,,,88.0,1.9,https://www.bolha.com/avto-oglasi/renault-grand-scenic-1.9-88kw-letnik-2005-178000km-diesel-deli-p-oglas-1578868,"Renault Grand Scenic 1.9 88kw, letnik 2005, 178000km, diesel deli p...",2005.0,178000.0,,bolha,22379.0,2214.0
980,FIAT,Sedici,Sedici,SPREMENLJIV,ROČNI,DIEZEL,4,,,,2.0,https://www.bolha.com/avto-oglasi/fiat-sedici-letnik-2009-201-km-diesel-2.0-deli-delih-oglas-1578751,"Fiat Sedici, letnik 2009, 201 km, diesel 2.0 deli po delih",2009.0,1337.0,,bolha,8517.0,905.0
981,Peugeot,307,N/A,KARAVAN,ROČNI,BENCIN,4,,,80.0,1.6,https://www.bolha.com/avto-oglasi/peugeot-307-letnik-2004-185000-km-bencin-deli-delih-rezervni-del-oglas-1578539,"Peugeot 307, letnik 2004, 185000 km, bencin deli po delih rezervni del",2004.0,185000.0,,bolha,,
982,FIAT,Grande Punto / Punto Evo 3 Doors,Punto Evo 3 Doors,HATCHBACK,ROČNI,DIEZEL,4,,,55.0,1.3,https://www.bolha.com/avto-oglasi/fiat-punto-evo-letnik-2012-76000-km-diesel-1.3-55kw-deli-delih-oglas-1578154,"Fiat Punto evo, letnik 2012, 76000 km, diesel 1.3 55kw deli po delih",2012.0,76000.0,,bolha,8350.0,888.0
983,Fiat,Punto,N/A,SPREMENLJIV,ROČNI,BENCIN,4,,,98.0,1.4,https://www.bolha.com/avto-oglasi/fiat-punto-gt-letnik-1994-170000-km-bencin-oglas-1581600,"Fiat Punto GT, letnik 1994, 170000 km, bencin",1994.0,170000.0,,bolha,,
984,RENAULT,Clio 5 Doors,Clio 5 Doors,HATCHBACK,ROČNI,DIEZEL,4,,,50.0,1.5,https://www.bolha.com/avto-oglasi/renault-clio-iii-clio-3-50kw-1.5-letnik-2009-75000-km-diesel-oglas-1581507,"Renault Clio III clio 3 50kw 1.5, letnik 2009, 75000 km, diesel",2009.0,75000.0,,bolha,22133.0,2205.0
985,FIAT,Croma,Croma,KARAVAN,,DIEZEL,4,,,147.0,2.4,https://www.bolha.com/avto-oglasi/fiat-croma-letnik-2006-187000-km-diesel-deli-delih-oglas-1580122,"Fiat Croma, letnik 2006, 187000 km, diesel deli po delih",2006.0,187000.0,,bolha,8317.0,884.0
986,RENAULT,Megane Sedan,Megane Sedan,KARAVAN,ROČNI,BENCIN,5,,,78.0,1.5,https://www.bolha.com/avto-oglasi/renault-megane-grandtour-3-letnik-2010-240000-km-dizel-1.5-oglas-1577747,"Renault Megane Grandtour 3,letnik 2010, 240000 km, dizel 1.5",2010.0,240000.0,,bolha,21835.0,2201.0
