,ime_znamke,ime_modela,ime_razlicice,tip_modela,menjalnik,vrsta_motorja,stevilo_vrat,stevilo_prestav,konjske_moci,kilovati,prostornina_motorja,povezava,naslov_oglasa,leto_izdelave,stevilo_kilometrov,cena,id_razlicice,id_modela
58,Honda,Accord,N/A,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,2.2,https://www.bolha.com/avto-oglasi/honda-accord-oglas-1576493,Honda Accord,2006.0,130000.0,,11013,1110
59,Peugeot,205,Color Line 1.1,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,5,,,40.0,1.124,https://www.bolha.com/avto-oglasi/peugeot-205-color-line-1.1-oglas-9549561,Peugeot 205 Color Line 1.1,1991.0,157489.0,2000.0,20492,2006
60,Kia,Niro,SUV,TipVozila.SUV,Menjalnik.AVTOMATSKI,Motor.HIBRID,5,,,,1.5,https://www.bolha.com/avto-oglasi/kia-niro-suv-avtomatik-oglas-10150170,Kia Niro SUV avtomatik,2018.0,72000.0,16500.0,13118,1322
61,Ford,Escort,Osebno vozilo,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,3,5.0,,44.0,1.3,https://www.bolha.com/avto-oglasi/ford-escort-osebno-vozilo-oglas-9675989,Ford Escort Osebno vozilo,1988.0,66921.0,1100.0,9766,980
62,Alfa Romeo,Drugi modeli,N/A,TipVozila.SPREMENLJIV,,Motor.BENCIN,4,,,,1.0,https://www.bolha.com/avto-oglasi/yamaha-enduro-00-00-km-starodobnik-oglas-2598156,"Yamaha , Enduro, 00, 00 km, starodobnik",1971.0,1.0,1.0,9988,1004
63,Audi,TT,1.8tfsi,TipVozila.SPREMENLJIV,Menjalnik.ROČNI,Motor.BENCIN,2,,,,1.8,https://www.bolha.com/avto-oglasi/audi-tt-1.8-tfsi-2lastnik-line-oglas-10149989,Audi TT 1.8 Tfsi 2lastnik S-line,2009.0,165000.0,12500.0,1169,149
64,Mitsubishi,ASX,GA211-ACBBA5A5AAAA,TipVozila.KOMBI,Menjalnik.ROČNI,Motor.BENCIN,5,5.0,,86.0,1.59,https://www.bolha.com/avto-oglasi/mitsubishi-asx-ga211-acbba5a5aaaa-oglas-10149907,Mitsubishi ASX GA211-ACBBA5A5AAAA,2014.0,94500.0,9900.0,17794,1781
65,Ford,Focus,karavan,TipVozila.KARAVAN,Menjalnik.ROČNI,Motor.DIEZEL,5,,,,1.999,https://www.bolha.com/avto-oglasi/ford-focus-karavan-oglas-10149844,Ford Focus karavan,2015.0,145200.0,11990.0,8717,924
66,Mercedes-Benz,C-klasa,edition C,TipVozila.SPREMENLJIV,Menjalnik.AVTOMATSKI,Motor.DIEZEL,4,,,100.0,2.143,https://www.bolha.com/avto-oglasi/mercedes-benz-c-klasa-edition-c-avtomatik-oglas-10149822,Mercedes-Benz C-klasa edition C avtomatik,2018.0,110000.0,35000.0,16631,1642
67,Renault,Laguna Grandtour,2.2 dci 150 km initiale,TipVozila.KARAVAN,Menjalnik.AVTOMATSKI,Motor.DIEZEL,5,,,110.0,2.198,https://www.bolha.com/avto-oglasi/renault-laguna-grandtour-2.2-dci-150-km-initiale-avtomatik-oglas-8800353,Renault Laguna Grandtour 2.2 dci 150 km initiale avtomatik,2005.0,275000.0,2500.0,22837,2255
